REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,2026/07/01 00:05:00,5467.33,8.92,TRADE
VIC1,2026/07/01 00:10:00,5469,10.48,TRADE
VIC1,2026/07/01 00:15:00,5456.64,24.63,TRADE
VIC1,2026/07/01 00:20:00,5462.64,20.61,TRADE
VIC1,2026/07/01 00:25:00,5409.9,9.71,TRADE
VIC1,2026/07/01 00:30:00,5405.47,8.92,TRADE
VIC1,2026/07/01 00:35:00,5379.33,10.63,TRADE
VIC1,2026/07/01 00:40:00,5313.1,10.48,TRADE
VIC1,2026/07/01 00:45:00,5268.01,20.71,TRADE
VIC1,2026/07/01 00:50:00,5182.78,9.72,TRADE
VIC1,2026/07/01 00:55:00,5167.18,10.48,TRADE
VIC1,2026/07/01 01:00:00,5127.62,10.48,TRADE
VIC1,2026/07/01 01:05:00,5159.64,27.14,TRADE
VIC1,2026/07/01 01:10:00,5057.01,10.48,TRADE
VIC1,2026/07/01 01:15:00,5109,0,TRADE
VIC1,2026/07/01 01:20:00,5099.69,8.92,TRADE
VIC1,2026/07/01 01:25:00,5067.66,10.48,TRADE
VIC1,2026/07/01 01:30:00,5028.09,20.61,TRADE
VIC1,2026/07/01 01:35:00,5027.86,11.64,TRADE
VIC1,2026/07/01 01:40:00,5019.8,20.61,TRADE
VIC1,2026/07/01 01:45:00,4944.97,0,TRADE
VIC1,2026/07/01 01:50:00,4923.3,0,TRADE
VIC1,2026/07/01 01:55:00,4920.82,9.56,TRADE
VIC1,2026/07/01 02:00:00,4933.18,8.92,TRADE
VIC1,2026/07/01 02:05:00,4883.49,11.50,TRADE
VIC1,2026/07/01 02:10:00,4863.44,10.48,TRADE
VIC1,2026/07/01 02:15:00,4868.74,9.78,TRADE
VIC1,2026/07/01 02:20:00,4870.38,10.48,TRADE
VIC1,2026/07/01 02:25:00,4747.68,25.71,TRADE
VIC1,2026/07/01 02:30:00,4745.12,26.63,TRADE
VIC1,2026/07/01 02:35:00,4695.23,0,TRADE
VIC1,2026/07/01 02:40:00,4768.94,8.92,TRADE
VIC1,2026/07/01 02:45:00,4771.25,8.92,TRADE
VIC1,2026/07/01 02:50:00,4711.91,9.62,TRADE
VIC1,2026/07/01 02:55:00,4708.94,8.81,TRADE
VIC1,2026/07/01 03:00:00,4689.27,0,TRADE
VIC1,2026/07/01 03:05:00,4659.07,1.93,TRADE
VIC1,2026/07/01 03:10:00,4593.83,8.81,TRADE
VIC1,2026/07/01 03:15:00,4584.02,0.17,TRADE
VIC1,2026/07/01 03:20:00,4630.84,10.48,TRADE
VIC1,2026/07/01 03:25:00,4657.77,8.81,TRADE
VIC1,2026/07/01 03:30:00,4632.2,0,TRADE
VIC1,2026/07/01 03:35:00,4590.87,0.30,TRADE
VIC1,2026/07/01 03:40:00,4594.81,0,TRADE
VIC1,2026/07/01 03:45:00,4585.52,0,TRADE
VIC1,2026/07/01 03:50:00,4483.44,0,TRADE
VIC1,2026/07/01 03:55:00,4514.68,-0.05,TRADE
VIC1,2026/07/01 04:00:00,4496.21,0,TRADE
